2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
02,94920,Belvedere Tiburon,Non Unique,Belvedere Tiburon,100.0,
02,94922,Bodega,Non Unique,Bodega,100.0,
02,94923,Bodega Bay,Non Unique,Bodega Bay,100.0,
02,94924,Bolinas,Non Unique,Bolinas,100.0,
02,94925,Corte Madera,Non Unique,Corte Madera,100.0,
02,94929,Dillon Beach,Po Box,Dillon Beach,100.0,
02,94930,Fairfax,Non Unique,Fairfax,100.0,
02,94931,Cotati,Non Unique,Cotati,0.3,
02,94933,Forest Knolls,Po Box,Forest Knolls,100.0,
02,94937,Inverness,Non Unique,Inverness,100.0,
02,94938,Lagunitas,Po Box,Lagunitas,100.0,
02,94939,Larkspur,Non Unique,Larkspur,100.0,
02,94940,Marshall,Non Unique,Marshall,100.0,
02,94941,Mill Valley,Non Unique,Mill Valley,100.0,
02,94942,Mill Valley,Po Box,Mill Valley,,*
02,94945,Novato,Non Unique,Novato,100.0,
02,94946,Nicasio,Non Unique,Nicasio,100.0,
02,94947,Novato,Non Unique,Novato,100.0,
02,94948,Novato,Po Box,Novato,,*
02,94949,Novato,Non Unique,Novato,100.0,
02,94950,Olema,Po Box,Olema,100.0,
02,94951,Penngrove,Non Unique,Penngrove,0.0,
02,94952,Petaluma,Non Unique,Petaluma,99.7,
02,94953,Petaluma,Po Box,Petaluma,,*
02,94954,Petaluma,Non Unique,Petaluma,96.0,
02,94955,Petaluma,Po Box,Petaluma,,*
02,94956,Point Reyes Station,Non Unique,Point Reyes Station,100.0,
02,94957,Ross,Po Box,Ross,,
02,94960,San Anselmo,Non Unique,San Anselmo,100.0,
02,94963,San Geronimo,Po Box,San Geronimo,100.0,
02,94964,San Quentin,Po Box,San Quentin,100.0,
02,94965,Sausalito,Non Unique,Sausalito,100.0,
02,94966,Sausalito,Po Box,Sausalito,,*
02,94970,Stinson Beach,Non Unique,Stinson Beach,100.0,
02,94971,Tomales,Po Box,Tomales,100.0,
02,94972,Valley Ford,Non Unique,Valley Ford,100.0,
02,94973,Woodacre,Po Box,Woodacre,100.0,
02,94974,San Quentin,Non Unique,San Quentin,,*
02,94975,Petaluma,Po Box,Petaluma,,*
02,94976,Corte Madera,Po Box,Corte Madera,,*
02,94977,Larkspur,Po Box,Larkspur,,*
